Time	Sin	Left_Hand_X	Right_Hand_X	Left_Hand_Y	Right_Hand_Y	Left_Grip	Right_Grip
0.956	0.842076059	12.86857143	10.4	19.21038029	14.5	0	500
0.96	0.844327926	12.88	10.4	19.22163963	14.5	0	500
0.964	0.846564978	12.89142857	10.4	19.23282489	14.5	0	500
0.968	0.848787176	12.90285714	10.4	19.24393588	14.5	0	500
0.972	0.850994482	12.91428571	10.4	19.25497241	14.5	0	500
0.976	0.853186856	12.92571429	10.4	19.26593428	14.5	0	500
0.98	0.85536426	12.93714286	10.4	19.2768213	14.5	0	500
0.984	0.857526656	12.94857143	10.4	19.28763328	14.5	0	500
0.988	0.859674006	12.96	10.4	19.29837003	14.5	0	500
0.992	0.861806272	12.97142857	10.4	19.30903136	14.5	0	500
0.996	0.863923417	12.98285714	10.4	19.31961709	14.5	0	500
1	0.866025404	12.99428571	10.4	19.33012702	14.5	0	500
1.004	0.868112195	13.00571429	10.4	19.34056098	14.5	0	500
1.008	0.870183755	13.01714286	10.4	19.35091877	14.5	0	500
1.012	0.872240046	13.02857143	10.4	19.36120023	14.5	0	500
1.016	0.874281033	13.04	10.4	19.37140517	14.5	0	500
1.02	0.87630668	13.05142857	10.4	19.3815334	14.5	0	500
1.024	0.878316951	13.06285714	10.4	19.39158476	14.5	0	500
1.028	0.880311812	13.07428571	10.4	19.40155906	14.5	0	500
1.032	0.882291226	13.08571429	10.4	19.41145613	14.5	0	500
1.036	0.88425516	13.09714286	10.4	19.4212758	14.5	0	500
1.04	0.886203579	13.10857143	10.4	19.4310179	14.5	0	500
1.044	0.888136449	13.12	10.4	19.44068224	14.5	0	500
1.048	0.890053735	13.13142857	10.4	19.45026868	14.5	0	500
1.052	0.891955405	13.14285714	10.4	19.45977702	14.5	0	500
1.056	0.893841424	13.15428571	10.4	19.46920712	14.5	0	500
1.06	0.89571176	13.16571429	10.4	19.4785588	14.5	0	500
1.064	0.89756638	13.17714286	10.4	19.4878319	14.5	0	500
1.068	0.899405252	13.18857143	10.4	19.49702626	14.5	0	500
1.072	0.901228342	13.2	10.4	19.50614171	14.5	0	500
1.076	0.90303562	13.21142857	10.4	19.5151781	14.5	0	500
1.08	0.904827052	13.22285714	10.4	19.52413526	14.5	0	500
1.084	0.906602609	13.23428571	10.4	19.53301305	14.5	0	500
1.088	0.908362259	13.24571429	10.4	19.5418113	14.5	0	500
1.092	0.910105971	13.25714286	10.4	19.55052985	14.5	0	500
1.096	0.911833714	13.26857143	10.4	19.55916857	14.5	0	500
1.1	0.913545458	13.28	10.4	19.56772729	14.5	0	500
1.104	0.915241173	13.29142857	10.4	19.57620586	14.5	0	500
1.108	0.916920829	13.30285714	10.4	19.58460414	14.5	0	500
1.112	0.918584397	13.31428571	10.4	19.59292198	14.5	0	500
1.116	0.920231847	13.32571429	10.4	19.60115924	14.5	0	500
1.12	0.921863152	13.33714286	10.4	19.60931576	14.5	0	500
1.124	0.923478281	13.34857143	10.4	19.6173914	14.5	0	500
1.128	0.925077207	13.36	10.4	19.62538603	14.5	0	500
1.132	0.926659901	13.37142857	10.4	19.63329951	14.5	0	500
1.136	0.928226337	13.38285714	10.4	19.64113168	14.5	0	500
1.14	0.929776486	13.39428571	10.4	19.64888243	14.5	0	500
1.144	0.931310321	13.40571429	10.4	19.6565516	14.5	0	500
1.148	0.932827815	13.41714286	10.4	19.66413908	14.5	0	500
1.152	0.934328942	13.42857143	10.4	19.67164471	14.5	0	500
1.156	0.935813676	13.44	10.4	19.67906838	14.5	0	500
1.16	0.937281989	13.45142857	10.4	19.68640995	14.5	0	500
1.164	0.938733858	13.46285714	10.4	19.69366929	14.5	0	500
1.168	0.940169255	13.47428571	10.4	19.70084627	14.5	0	500
1.172	0.941588156	13.48571429	10.4	19.70794078	14.5	0	500
1.176	0.942990536	13.49714286	10.4	19.71495268	14.5	0	500
1.18	0.94437637	13.50857143	10.4	19.72188185	14.5	0	500
1.184	0.945745635	13.52	10.4	19.72872817	14.5	0	500
1.188	0.947098305	13.53142857	10.4	19.73549152	14.5	0	500
1.192	0.948434358	13.54285714	10.4	19.74217179	14.5	0	500
1.196	0.949753769	13.55428571	10.4	19.74876885	14.5	0	500
1.2	0.951056516	13.56571429	10.4	19.75528258	14.5	0	500
1.204	0.952342576	13.57714286	10.4	19.76171288	14.5	0	500
1.208	0.953611927	13.58857143	10.4	19.76805963	14.5	0	500
1.212	0.954864545	13.6	10.4	19.77432272	14.5	0	500
1.216	0.956100409	13.61142857	10.4	19.78050204	14.5	0	500
1.22	0.957319498	13.62285714	10.4	19.78659749	14.5	0	500
1.224	0.958521789	13.63428571	10.4	19.79260895	14.5	0	500
1.228	0.959707262	13.64571429	10.4	19.79853631	14.5	0	500
1.232	0.960875897	13.65714286	10.4	19.80437948	14.5	0	500
1.236	0.962027672	13.66857143	10.4	19.81013836	14.5	0	500
1.24	0.963162567	13.68	10.4	19.81581283	14.5	0	500
1.244	0.964280562	13.69142857	10.4	19.82140281	14.5	0	500
1.248	0.965381639	13.70285714	10.4	19.82690819	14.5	0	500
1.252	0.966465777	13.71428571	10.4	19.83232888	14.5	0	500
1.256	0.967532957	13.72571429	10.4	19.83766479	14.5	0	500
1.26	0.968583161	13.73714286	10.4	19.84291581	14.5	0	500
1.264	0.96961637	13.74857143	10.4	19.84808185	14.5	0	500
1.268	0.970632567	13.76	10.4	19.85316284	14.5	0	500
1.272	0.971631733	13.77142857	10.4	19.85815866	14.5	0	500
1.276	0.972613851	13.78285714	10.4	19.86306925	14.5	0	500
1.28	0.973578903	13.79428571	10.4	19.86789451	14.5	0	500
1.284	0.974526873	13.80571429	10.4	19.87263436	14.5	0	500
1.288	0.975457744	13.81714286	10.4	19.87728872	14.5	0	500
1.292	0.976371499	13.82857143	10.4	19.8818575	14.5	0	500
1.296	0.977268124	13.84	10.4	19.88634062	14.5	0	500
1.3	0.978147601	13.85142857	10.4	19.890738	14.5	0	500
1.304	0.979009915	13.86285714	10.4	19.89504958	14.5	0	500
1.308	0.979855052	13.87428571	10.4	19.89927526	14.5	0	500
1.312	0.980682997	13.88571429	10.4	19.90341498	14.5	0	500
1.316	0.981493734	13.89714286	10.4	19.90746867	14.5	0	500
1.32	0.982287251	13.90857143	10.4	19.91143625	14.5	0	500
1.324	0.983063532	13.92	10.4	19.91531766	14.5	0	500
1.328	0.983822564	13.93142857	10.4	19.91911282	14.5	0	500
1.332	0.984564335	13.94285714	10.4	19.92282167	14.5	0	500
1.336	0.98528883	13.95428571	10.4	19.92644415	14.5	0	500
1.34	0.985996037	13.96571429	10.4	19.92998019	14.5	0	500
1.344	0.986685944	13.97714286	10.4	19.93342972	14.5	0	500
1.348	0.987358539	13.98857143	10.4	19.9367927	14.5	0	500
1.352	0.98801381	14	10.4	19.94006905	14.5	0	500
1.356	0.988651745	14.01142857	10.4	19.94325872	14.5	0	500
1.36	0.989272333	14.02285714	10.4	19.94636166	14.5	0	500
1.364	0.989875563	14.03428571	10.4	19.94937782	14.5	0	500
1.368	0.990461426	14.04571429	10.4	19.95230713	14.5	0	500
1.372	0.991029909	14.05714286	10.4	19.95514955	14.5	0	500
1.376	0.991581004	14.06857143	10.4	19.95790502	14.5	0	500
1.38	0.992114701	14.08	10.4	19.96057351	14.5	0	500
1.384	0.992630991	14.09142857	10.4	19.96315495	14.5	0	500
1.388	0.993129863	14.10285714	10.4	19.96564932	14.5	0	500
1.392	0.993611311	14.11428571	10.4	19.96805655	14.5	0	500
1.396	0.994075324	14.12571429	10.4	19.97037662	14.5	0	500
1.4	0.994521895	14.13714286	10.4	19.97260948	14.5	0	500
1.404	0.994951017	14.14857143	10.4	19.97475508	14.5	0	500
1.408	0.995362681	14.16	10.4	19.97681341	14.5	0	500
1.412	0.995756881	14.17142857	10.4	19.9787844	14.5	0	500
1.416	0.996133609	14.18285714	10.4	19.98066805	14.5	0	500
1.42	0.996492859	14.19428571	10.4	19.9824643	14.5	0	500
1.424	0.996834625	14.20571429	10.4	19.98417312	14.5	0	500
1.428	0.9971589	14.21714286	10.4	19.9857945	14.5	0	500
1.432	0.997465679	14.22857143	10.4	19.9873284	14.5	0	500
1.436	0.997754957	14.24	10.4	19.98877479	14.5	0	500
1.44	0.998026728	14.25142857	10.4	19.99013364	14.5	0	500
1.444	0.998280988	14.26285714	10.4	19.99140494	14.5	0	500
1.448	0.998517732	14.27428571	10.4	19.99258866	14.5	0	500
1.452	0.998736957	14.28571429	10.4	19.99368478	14.5	0	500
1.456	0.998938657	14.29714286	10.4	19.99469329	14.5	0	500
1.46	0.99912283	14.30857143	10.4	19.99561415	14.5	0	500
1.464	0.999289473	14.32	10.4	19.99644736	14.5	0	500
1.468	0.999438582	14.33142857	10.4	19.99719291	14.5	0	500
1.472	0.999570155	14.34285714	10.4	19.99785077	14.5	0	500
1.476	0.999684189	14.35428571	10.4	19.99842095	14.5	0	500
1.48	0.999780683	14.36571429	10.4	19.99890342	14.5	0	500
1.484	0.999859636	14.37714286	10.4	19.99929818	14.5	0	500
1.488	0.999921044	14.38857143	10.4	19.99960522	14.5	0	500
1.492	0.999964908	14.4	10.4	19.99982454	14.5	0	500
1.496	0.999991227	14.41142857	10.4	19.99995614	14.5	0	500
1.5	1	14.42285714	10.4	20	14.5	0	500
1.504	0.999991227	14.43428571	10.4	19.99995614	14.5	0	500
1.508	0.999964908	14.44571429	10.4	19.99982454	14.5	0	500
1.512	0.999921044	14.45714286	10.4	19.99960522	14.5	0	500
1.516	0.999859636	14.46857143	10.4	19.99929818	14.5	0	500
1.52	0.999780683	14.48	10.4	19.99890342	14.5	0	500
1.524	0.999684189	14.49142857	10.4	19.99842095	14.5	0	500
1.528	0.999570155	14.50285714	10.4	19.99785077	14.5	0	500
1.532	0.999438582	14.51428571	10.4	19.99719291	14.5	0	500
1.536	0.999289473	14.52571429	10.4	19.99644736	14.5	0	500
1.54	0.99912283	14.53714286	10.4	19.99561415	14.5	0	500
1.544	0.998938657	14.54857143	10.4	19.99469329	14.5	0	500
1.548	0.998736957	14.56	10.4	19.99368478	14.5	0	500
1.552	0.998517732	14.57142857	10.4	19.99258866	14.5	0	500
1.556	0.998280988	14.58285714	10.4	19.99140494	14.5	0	500
1.56	0.998026728	14.59428571	10.4	19.99013364	14.5	0	500
1.564	0.997754957	14.60571429	10.4	19.98877479	14.5	0	500
1.568	0.997465679	14.61714286	10.4	19.9873284	14.5	0	500
1.572	0.9971589	14.62857143	10.4	19.9857945	14.5	0	500
1.576	0.996834625	14.64	10.4	19.98417312	14.5	0	500
1.58	0.996492859	14.65142857	10.4	19.9824643	14.5	0	500
1.584	0.996133609	14.66285714	10.4	19.98066805	14.5	0	500
1.588	0.995756881	14.67428571	10.4	19.9787844	14.5	0	500
1.592	0.995362681	14.68571429	10.4	19.97681341	14.5	0	500
1.596	0.994951017	14.69714286	10.4	19.97475508	14.5	0	500
1.6	0.994521895	14.70857143	10.4	19.97260948	14.5	0	500
1.604	0.994075324	14.72	10.4	19.97037662	14.5	0	500
1.608	0.993611311	14.73142857	10.4	19.96805655	14.5	0	500
